net,length_um
u_core0.ROW\[1\].COL\[0\].u_pe.sum_out\[15\],350.28
net247,349.985
u_core0.ROW\[1\].COL\[0\].u_pe.sum_out\[14\],349.8
net248,348.9
u_core0.ROW\[20\].COL\[0\].u_pe.b_out\[3\],348.8
mem1_rdata\[6\],348.575
u_core0.ROW\[26\].COL\[1\].u_pe.b_out\[6\],348.44
_00489_,348.4
_09063_,348.05
_00931_,347.89
_08992_,347.78
u_core0.ROW\[29\].COL\[1\].u_pe.b_out\[1\],347.5
u_core0.ROW\[1\].COL\[0\].u_pe.sum_out\[16\],346.54
_00741_,346.51
u_core0.ROW\[15\].COL\[1\].u_pe.sum_out\[11\],346.02
_22458_,345.95
clknet_3_2_0_clk,345.54
_19570_,345.505
_00490_,345.46
u_core0.ROW\[14\].COL\[0\].u_pe.b_out\[6\],345.255
_00653_,345.14
_00453_,345.115
u_core0.ROW\[14\].COL\[0\].u_pe.sum_out\[6\],344.84
u_core0.ROW\[29\].COL\[1\].u_pe.b_out\[2\],344.685
_00743_,344.5
u_core0.ROW\[14\].COL\[0\].u_pe.sum_out\[8\],344.39
u_core0.A_inputs\[114\],344.315
_00742_,343.535
_08694_,343.17
net47,343.13
u_core0.ROW\[24\].COL\[0\].u_pe.b_out\[0\],342.66
u_core0.ROW\[15\].COL\[0\].u_pe.sum_out\[9\],342.52
_02036_,342.47
u_core0.ROW\[10\].COL\[1\].u_pe.b_in\[7\],342.34
_16732_,342.32
_16370_,342.205
_09731_,341.88
_01017_,341.74
net561,341.46
u_core0.ROW\[14\].COL\[0\].u_pe.sum_out\[7\],341.13
_22582_,341.04
_22470_,341
_08773_,340.95
_02014_,340.88
u_core0.A_inputs\[119\],340.28
_08718_,340.19
mem0_rdata\[16\],340.19
net332,340.19
_22649_,340.01
u_core0.ROW\[14\].COL\[0\].u_pe.b_out\[3\],339.92
_00848_,339.845
u_core0.ROW\[6\].COL\[0\].u_pe.b_out\[3\],339.8
u_core0.ROW\[6\].COL\[0\].u_pe.b_out\[2\],339.54
u_core0.ROW\[22\].COL\[1\].u_pe.b_out\[1\],339.36
u_core0.ROW\[30\].COL\[1\].u_pe.sum_out\[0\],339.13
net541,338.83
_00203_,338.38
_10819_,337.87
